327	00:26:41,755	00:26:45,813	$I remember I was laughing when he took off$his helmet and they saw that silver hair.
328	00:26:45,843	00:26:47,243	$How handsome he was.
329	00:26:48,247	00:26:50,547	$Until he rode right past his wife,
330	00:26:51,170	00:26:52,320	$Elia Martell,
331	00:26:52,941	00:26:55,091	$and all the smiles died.
332	00:26:56,282	00:26:59,132	$Never seen so many$people so quiet.
333	00:26:59,806	00:27:01,406	$He rode past his wife
334	00:27:03,314	00:27:06,764	$and he laid a crown with$winter roses in Lyanna's lap.
335	00:27:06,868	00:27:08,418	$Blue was frost.
336	00:27:12,593	00:27:17,243	$How many tens of thousands had to die$because Rheagar chose your aunt?
337	00:27:19,216	00:27:20,577	$Yes... he chose them,
338	00:27:22,131	00:27:23,931	$and then kidnapped$her, and raped her.
339	00:27:32,666	00:27:33,666	$Come
340	00:27:34,652	00:27:37,252	$Let's speak somewhere$the dead can't hear us.
341	00:27:42,477	00:27:43,932	$Dressed for riding...
342	00:27:43,962	00:27:44,962	$I am.
343	00:27:46,796	00:27:47,796	$Where are you going?
344	00:27:48,489	00:27:49,889	$King's Landing.
345	00:27:50,577	00:27:51,977	$King's Landing?
346	00:27:52,334	00:27:54,403	$Cersei sent for me.
347	00:27:54,433	00:27:56,783	$We mustn't let her$sniff out any trouble.
348	00:27:57,104	00:27:58,754	$You can't leave me here!
349	00:27:58,945	00:28:02,645	$You know how hard it is to get with$people you despise, believe me.
350	00:28:02,979	00:28:04,879	$But it won't be for long.
351	00:28:05,050	00:28:06,500	$How do you know?
352	00:28:07,751	00:28:10,851	$Stannis Baratheon garrisons$the Castle Black.
353	00:28:11,500	00:28:15,348	$He'll march South to King's Landing$before the Winter snow block his way.
354	00:28:15,378	00:28:16,378	$But first,
355	00:28:16,446	00:28:18,346	$he has to take Winterfell.
356	00:28:18,821	00:28:19,821	$You don't konw that.
357	00:28:19,851	00:28:20,851	$I do.
358	00:28:22,137	00:28:24,237	$Once he liberates these$lands from the Bolton's,
359	00:28:24,267	00:28:26,773	$he'll rally your fathers$bannermen to his cause
360	00:28:26,803	00:28:28,716	$with the North behind them.
361	00:28:28,746	00:28:31,521	$Stannis can finally$take the Iron Throne.
362	00:28:31,551	00:28:34,151	$You think he'll$defeat the Bolton's?
363	00:28:34,397	00:28:36,002	$He has a larger army,
364	00:28:36,032	00:28:38,571	$and the finest military$commander in Westeros.
365	00:28:38,601	00:28:42,251	$A betting man, would put$his money on Stannis.
366	00:28:42,474	00:28:45,774	$As it happens, I$am a betting man.
367	00:28:46,189	00:28:47,539	$And if you're right?
368	00:28:47,938	00:28:50,059	$Stannis takes Winterfell,
369	00:28:50,089	00:28:53,327	$he rescues you from the most$despised family in the North.
370	00:28:53,357	00:28:56,337	$Grateful for your late father's$courageous support of his claim...
371	00:28:56,367	00:28:58,417	$he names you...$Wardeness of the North.
