baratheon	greyjoy	lannister	martell	stark	targaryen	tyrell	time	episode	season
0	0	0	0	0	2	0	40	3	1
0	0	0	0	0	0	0	41	3	1
0	0	0	0	0	0	0	42	3	1
0	0	0	0	0	0	0	43	3	1
0	0	0	0	0	0	0	44	3	1
0	0	0	0	0	0	0	45	3	1
0	0	0	0	2	0	0	46	3	1
0	0	0	0	0	0	0	47	3	1
0	0	0	0	0	0	0	48	3	1
0	0	0	0	0	3	0	49	3	1
0	0	0	0	0	0	0	50	3	1
0	0	0	0	0	1	0	51	3	1
0	0	1	0	0	1	0	52	3	1
0	0	0	0	1	0	0	53	3	1
0	0	0	0	0	0	0	54	3	1
0	0	0	0	1	0	0	55	3	1
0	0	0	0	0	0	0	56	3	1
0	0	0	0	0	0	0	57	3	1
0	0	0	0	0	0	0	58	3	1
0	0	0	0	0	0	0	59	3	1
0	0	0	0	0	2	0	0	4	1
0	0	1	0	0	0	0	1	4	1
0	0	0	0	0	0	0	2	4	1
0	0	0	0	0	0	0	3	4	1
0	0	0	0	2	0	0	4	4	1
0	0	0	0	2	0	0	5	4	1
0	0	0	0	1	0	0	6	4	1
0	1	0	0	0	0	0	7	4	1
0	0	0	0	0	0	0	8	4	1
0	0	0	0	0	0	0	9	4	1
0	0	0	0	0	0	0	10	4	1
0	0	0	0	0	0	0	11	4	1
0	0	0	0	0	0	0	12	4	1
0	0	0	0	0	0	0	13	4	1
1	0	0	0	1	0	0	14	4	1
0	0	0	0	0	0	0	15	4	1
0	0	0	0	0	0	0	16	4	1
0	0	0	0	0	0	0	17	4	1
0	0	0	0	0	0	0	18	4	1
0	0	0	0	0	0	0	19	4	1
0	0	2	0	0	0	0	20	4	1
0	0	0	0	0	2	0	21	4	1
0	0	0	0	0	0	0	22	4	1
0	0	0	0	0	0	0	23	4	1
0	0	0	0	0	0	0	24	4	1
0	0	0	0	0	1	0	25	4	1
0	0	0	0	0	0	0	26	4	1
0	0	0	0	1	0	0	27	4	1
0	0	0	0	1	0	0	28	4	1
0	0	0	0	0	0	0	29	4	1
0	0	0	0	0	0	0	30	4	1
0	0	0	0	0	0	0	31	4	1
0	0	0	0	0	0	0	32	4	1
0	0	0	0	1	0	0	33	4	1
0	0	0	0	0	0	0	34	4	1
0	0	0	0	0	0	0	35	4	1
1	0	0	0	0	0	0	36	4	1
0	1	0	0	0	0	0	37	4	1
0	0	0	0	0	0	0	38	4	1
0	0	0	0	0	0	0	39	4	1
0	0	0	0	0	0	0	40	4	1
0	0	0	0	0	2	0	41	4	1
0	0	0	0	0	1	0	42	4	1
0	0	0	0	0	0	0	43	4	1
0	0	0	0	0	0	0	44	4	1
0	0	0	0	0	0	0	45	4	1
0	0	0	0	0	0	0	46	4	1
0	0	0	0	0	0	0	47	4	1
0	0	0	0	0	0	0	48	4	1
0	0	0	0	0	2	0	49	4	1
0	0	0	0	0	0	0	50	4	1
0	0	0	0	1	0	0	51	4	1
0	0	0	0	0	0	0	52	4	1
0	0	0	0	0	0	0	53	4	1
0	0	0	0	0	0	0	54	4	1
0	0	0	0	0	0	0	55	4	1
0	0	0	0	0	0	0	56	4	1
0	0	0	0	0	0	0	57	4	1
0	0	0	0	1	0	0	58	4	1
1	0	0	0	0	0	0	59	4	1
0	0	0	0	0	0	0	0	5	1
0	0	0	0	0	0	0	1	5	1
0	0	0	0	0	0	0	2	5	1
0	0	0	0	0	0	0	3	5	1
1	0	0	0	0	0	0	4	5	1
0	0	0	0	0	0	0	5	5	1
1	0	2	0	0	0	0	6	5	1
0	0	0	0	1	0	1	7	5	1
0	0	0	0	0	0	1	8	5	1
1	0	0	0	0	0	2	9	5	1
0	0	0	0	0	0	0	10	5	1
0	0	0	0	0	0	0	11	5	1
0	0	0	0	0	0	0	12	5	1
0	0	0	0	0	0	0	13	5	1
0	0	0	0	0	0	0	14	5	1
1	0	0	0	1	0	0	15	5	1
0	0	0	0	0	0	0	16	5	1
0	0	1	0	0	0	0	17	5	1
0	0	0	0	0	0	0	18	5	1
1	0	0	0	0	0	0	19	5	1
0	0	0	0	0	0	0	20	5	1
0	0	0	0	0	0	0	21	5	1
0	0	0	0	0	0	0	22	5	1
0	0	0	0	0	0	0	23	5	1
0	0	0	0	0	0	0	24	5	1
0	0	0	0	0	0	0	25	5	1
0	0	0	0	1	0	0	26	5	1
0	0	0	0	0	0	0	27	5	1
0	0	0	0	0	0	0	28	5	1
0	0	0	0	1	0	0	29	5	1
0	0	0	0	2	0	0	30	5	1
0	0	0	0	1	0	0	31	5	1
0	0	0	0	0	0	0	32	5	1
0	0	0	0	0	0	0	33	5	1
0	0	0	0	1	1	0	34	5	1
0	0	0	0	0	0	0	35	5	1
0	0	0	0	0	0	0	36	5	1
1	0	0	0	0	0	0	37	5	1
0	0	0	0	0	0	0	38	5	1
0	0	0	0	0	0	0	39	5	1
0	0	2	0	0	0	0	40	5	1
0	0	0	0	0	0	0	41	5	1
3	0	0	0	0	0	1	42	5	1
1	0	0	0	0	0	0	43	5	1
2	0	0	0	0	0	0	44	5	1
3	0	2	0	0	0	0	45	5	1
0	0	1	0	2	0	0	46	5	1
0	0	0	0	0	1	0	47	5	1
0	0	0	0	0	1	0	48	5	1
0	0	0	0	1	0	0	49	5	1
0	0	0	0	0	0	0	50	5	1
0	0	0	0	1	0	0	51	5	1
0	0	0	0	0	0	0	52	5	1
0	0	0	0	0	0	0	53	5	1
1	0	0	0	0	0	0	54	5	1
1	0	0	0	0	0	0	55	5	1
