anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk	season	episode
		maester:1,small:1				has:1,grand:1		honor:1		3	1	3
	gods:1	many:1,kings:1		many:1,girls:1		glad:1,like:1,have:1,had:1,thank:1,change:1,wonder:1		how:1,asses:1	asses:1	4	1	3
	die:2,stood:2,nobody:1	king:1,brother:1,kingdoms:1	room:2	men:2		like:2,that:2,have:2,what:1,swinging:1,great:1,hand:1,happened:1,handsome:1		chosen:1		5	1	3
mad:3	die:1	king:3,mad:3,except:1	stabbed:1	yourself:1	mad:3	that:2,what:1,like:1		shoved:1		6	1	3
		man:2,kingdom:1,looking:1,woman:1,kingsroad:1,brother:1,son:1		man:2,mentioned:1,woman:1,lady:1		look:2,has:2,that:1,perhaps:1,hoped:1,looking:1,shame:1,token:1,have:1,agree:1		chose:2,hoped:1		7	1	3
		king:3,many:2,brother:2,matters:2,small:2,maester:1,pardon:1,may:1,man:1		many:2,tournament:1,appointment:1,man:1		has:2,winter:1,cares:1,that:1,hand:1,grand:1,winning:1,grace:1,champion:1	tournament:1	how:3,without:1,honor:1,should:1		8	1	3
	accommodate:1	king:2,accommodate:1,master:1,expect:1,extravagance:1,make:1,expense:1	prudent:1	tournament:1		hand:2,what:1,already:1,tywin:1,had:1,have:1,happen:1,grace:1,best:1	tournament:1	how:1,expense:1,prudent:1		9	1	3
warrior:1,fought:1	warrior:1	make:2,king:1,spared:1,marry:1,formal:1		girl:1,girls:1	warrior:1	like:3,have:2,what:1,love:1,that:1,true:1		bit:1,love:1,should:1		10	1	3
fuck:2	soldiers:1	command:2,painted:2,kindness:1,experienced:1,spare:1,exactly:1		men:3,command:2,boy:1,girl:1		better:1,kindness:1,handle:1,than:1,have:1		whores:2,fuck:2,should:2,how:1,who:1	fuck:2	11	1	3
coward:1,warden:1	food:1,gods:1,coward:1,good:1,warden:1	king:2,maybe:1,asking:1,uncle:1,brothers:1	warden:1,homeland:1	lady:1	coward:1,warden:1	save:2,what:1,good:1,winter:1,that:1,winterfell:1,agree:1		big:1,who:1,homeland:1		12	1	3
whatever:1	alive:1	dollmaker:1,may:1,makes:1,excused:1	room:1	lady:1	idiot:1,since:1	like:2,what:1,love:1,happening:1,that:1,played:1,whatever:1,than:1,haven:1	since:1	hound:2,love:1,excused:1		13	1	3
war:1	war:1	may:1,maker:1,mark:1			war:1	than:1,that:1		whose:1		14	1	3
	ladies:1	sister:1		ladies:1,lady:1,girl:1		play:1,hoping:1,that:1,sweet:1,what:1,playing:1		essence:1,shouldn:1,who:1,hoping:1		15	1	3
hate:2		king:2,marry:1,married:1		boy:1		winter:2,hate:2,look:1,that:1,winterfell:1,truly:1,like:1		how:1,hound:1,else:1		16	1	3
hate:1,war:1	war:1	sister:2			war:1	better:1,won:1,winter:1,look:1,hate:1,either:1		how:1	dangerous:1	17	1	3
hated:1,hate:1	die:1,woods:1			boy:1,children:1,child:1	scary:1	what:1,winter:1,that:1,hated:1,sweet:1,hate:1	favorites:3	those:2,who:1		18	1	3
	dead:1	kings:1,smothered:1,pale:1,kingdoms:1,packs:1		babies:1,women:1	wept:1,swept:1	what:3,that:3,like:1,than:1,freeze:1		horses:1,big:1,thousands:1,babies:1,hounds:1		19	1	3
	dead:2	macomber:1,maybe:1,maester:1				true:1,what:1,luwin:1,wind:1,that:1		thousand:2,how:1,though:1		20	1	3
		many:1,king:1		lady:4,many:1	since:1	following:1,either:1	since:1	who:2		21	1	3
		looking:1,king:1,many:1		lady:2,many:1	blessing:1,lost:1	disrespect:1,what:1,that:1,truly:1,looking:1,chance:1,have:1,hands:1	blessing:1	how:3		22	1	3
		kingdoms:1,man:1		tournament:1,man:1	lost:1	everywhere:1,like:1,that:1	tournament:1	whose:1,birds:1,whom:1		23	1	3
made:1	dead:1	next:2,made:1		boys:1	made:1	what:1,that:1,like:1,likes:1		show:1		24	1	3
	good:1	person:1,commander:1,stomach:1,man:1,son:1		person:1,men:1,man:1,commander:1		charming:2,good:1,that:1		how:1		25	1	3
	good:1	man:2,looking:1		man:2,establishments:1		funny:2,winterfell:2,good:1,like:1,that:1,perhaps:1,share:1,looking:1		thought:1		26	1	3
tempers:1		looking:2,marvelous:1,broke:1,man:1		improvement:1,man:1		looking:2,what:2,wonder:2,look:1,broke:1,half:1,care:1		how:1		27	1	3
hate:1	everybody:1,rodrik:1	sister:2,king:1,asking:1,master:1,imagine:1,commander:1		commander:1		what:1,like:1,hadn:1,perhaps:1,lucky:1,hand:1,better:1,have:1,hate:1,than:1	write:1	farmhouse:1		28	1	3
	alive:1	brother:3,maintain:1,treason:1,man:1	petyr:1	boy:2,man:1		have:3,has:2,like:1,that:1,won:1,thanks:1,true:1,woken:1		how:1,trust:1,who:1		29	1	3
war:2,lying:1,whatever:1,outfox:1	war:2,bloody:1	thinking:2,king:1		boy:2,remembers:1,child:1	war:2,lying:1	what:5,won:1,like:1,have:1,has:1,whatever:1	write:1	bit:1,whole:1	bloody:1	30	1	3
temper:2	gods:1,good:1	moment:1,man:1		moment:1,man:1,girls:1,yourself:1		good:1,hope:1,loves:1,that:1		who:1,hope:1,loves:1,without:1	dangerous:2	31	1	3
										32	1	3
	gods:1,stood:1	thinking:1		boy:1	single:1	hammer:2,shattered:1,summerhall:1,had:1,took:1,lucky:1,swing:1,grace:1	single:1	how:1,horse:1,who:1		33	1	3
	gods:1,today:1	brought:1,sons:1,making:1,part:1,songs:1,smart:1,waking:1		boy:1,boys:1		what:1,that:1,like:1,have:1,wine:1		how:1,shouted:1,else:1		34	1	3
		kingslayer:1			cousin:1,close:1	what:3,hair:1,that:1,halfwit:1,pride:1,grace:1,wine:1	cousin:1	who:1		35	1	3
