time	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
158	0	0	5	1	3	0	2	1	2	0
159	1	1	7	2	3	1	15	0	2	0
160	1	2	7	0	5	1	10	0	4	0
161	1	2	8	2	3	1	18	1	6	1
162	0	0	4	1	0	0	15	0	1	0
163	1	1	7	1	1	1	15	1	2	0
164	0	0	4	0	1	0	4	0	0	0
165	1	5	12	3	2	1	23	0	0	1
166	0	0	3	0	3	0	0	0	0	0
167	0	3	7	1	6	1	15	0	3	0
168	1	4	14	4	5	2	8	1	6	0
169	2	3	11	2	4	0	21	0	6	0
170	2	3	7	0	7	3	11	0	2	0
171	0	1	4	0	5	1	19	1	5	1
172	1	2	6	0	5	1	24	1	9	2
173	1	1	1	0	1	3	13	1	6	1
174	0	0	7	2	4	1	16	0	3	0
175	0	1	5	0	4	0	4	0	8	0
176	0	0	3	0	0	0	6	1	3	0
177	1	1	3	0	2	0	2	0	6	3
178	2	1	12	0	8	1	14	0	3	0
179	0	1	5	1	1	0	5	0	3	0
180	0	0	8	2	5	1	19	1	5	0
181	1	3	4	1	2	1	24	0	10	0
182	2	4	4	0	1	2	7	0	5	0
183	3	9	5	0	1	3	8	0	8	1
184	3	4	10	0	7	3	8	0	3	1
185	2	1	12	2	8	5	11	3	4	2
186	2	11	18	1	6	2	17	0	9	1
187	1	3	9	2	2	2	11	0	4	2
188	1	1	8	0	3	1	9	1	7	0
189	0	4	4	0	5	1	13	0	5	0
190	0	1	2	0	0	1	6	1	2	2
191	0	2	3	1	0	0	1	0	0	0
192	0	2	8	0	4	0	7	0	3	0
193	0	5	11	1	9	0	7	0	2	0
194	1	1	0	0	0	1	0	0	1	0
195	0	0	0	0	0	0	0	0	0	0
196	3	4	2	1	2	3	8	0	2	1
197	0	3	3	0	6	0	6	0	0	1
198	2	4	1	0	1	2	2	0	3	0
199	3	5	6	0	5	5	17	2	9	0
200	1	4	8	0	2	1	3	0	4	0
201	2	3	12	1	2	2	21	0	6	0
202	0	0	13	0	3	0	15	1	2	1
203	3	5	10	2	1	5	10	1	4	0
204	1	2	8	1	4	1	13	0	4	0
205	0	3	7	1	5	0	16	0	6	1
206	0	2	2	0	0	0	7	0	0	0
207	1	0	3	0	3	0	1	1	2	1
208	1	2	1	0	1	1	9	0	2	0
209	0	0	2	0	1	0	12	0	3	0
210	0	2	3	0	3	0	3	0	3	0
211	1	1	5	1	5	0	4	0	4	2
212	0	3	2	0	1	0	14	0	1	1
213	1	9	4	0	4	0	12	0	3	0
214	0	2	3	0	1	1	11	1	7	0
215	1	3	6	0	5	1	10	0	10	2
216	3	4	13	0	6	4	17	0	4	0
217	3	3	13	2	2	2	9	1	5	1
218	3	3	15	1	6	4	16	0	9	1
219	0	0	3	2	4	2	13	2	2	0
220	1	1	8	1	3	1	12	0	2	0
221	1	8	14	0	7	0	19	1	6	1
222	4	2	9	1	6	4	20	3	6	0
223	0	0	4	0	0	0	9	1	1	0
224	1	2	10	0	8	0	19	1	4	0
225	1	3	8	0	3	1	8	0	6	0
226	2	0	8	1	9	5	24	4	5	0
227	1	3	12	2	2	1	11	0	3	0
